Customer ID,Age,Income Level,Geographic Information,Location,Purchase History,Policy Start Date,Policy Renewal Date,Claim History,Coverage Amount,Premium Amount,Deductible,Preferred Communication Channel,Preferred Contact Time,Risk Profile,Credit Score,Driving Record,Life Events,Gender_Male,Marital Status_Married,Marital Status_Separated,Marital Status_Single,Marital Status_Widowed,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Lawyer,Occupation_Manager,Occupation_Nurse,Occupation_Salesperson,Occupation_Teacher,Education Level_Bachelor's Degree,Education Level_Doctorate,Education Level_High School Diploma,Education Level_Master's Degree,Policy Type_Family,Policy Type_Group,Policy Type_Individual
15043.0,0.5686937346298442,-0.8522518412482702,Karnataka,75177.0,1/24/2020,7/23/2019,7/24/2024,0.0,-1.0345907207999598,-1.4653500676936966,1.024110450819929,Email,Morning,0.0,1.016533224185266,Major Violations,Divorce,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
88777.0,0.9280867701433776,0.46495052554712435,Karnataka,56707.0,1/10/2023,11/10/2021,1/14/2024,2.0,0.8514690301432061,-0.4862724303949976,0.8555021604741696,Email,Evening,2.0,-0.701418674283298,Clean,Divorce,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
62911.0,1.4671763234136777,0.408573200047081,Arunachal Pradesh,60225.0,12/12/2021,11/7/2023,6/2/2024,2.0,2.09398160512363,1.3924981709079112,-0.3697180827050147,In-Person Meeting,Afternoon,3.0,-0.18130479676529232,DUI,Childbirth,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
38955.0,-1.2282714429378228,-0.4796547304715793,Andhra Pradesh,34707.0,2/1/2023,6/1/2018,2/13/2024,4.0,0.5247240059834327,0.61118586006215,0.6419316593695412,Email,Weekends,2.0,-0.5438084083687508,DUI,Marriage,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
3935.0,-0.509485371910756,0.26047186631775365,Puducherry,14225.0,2/18/2021,6/4/2023,5/15/2023,1.0,1.5757113978834218,0.24490219205424418,-0.6732130053273815,In-Person Meeting,Morning,3.0,-0.2601099297225659,Clean,Childbirth,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
81731.0,-1.5876644784513563,-1.9495826385934958,Punjab,51757.0,8/24/2018,6/24/2021,2/28/2024,0.0,-2.1409890796349154,-1.525236751056206,0.21479065716028425,In-Person Meeting,Afternoon,0.0,0.8746839848621736,Major Violations,Divorce,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
88306.0,-1.048574925181056,-0.43455287007154464,Delhi,25993.0,7/13/2022,1/11/2019,11/7/2023,0.0,-0.6665674672366917,0.08891827259840593,0.10238513026311137,Mail,Evening,1.0,0.5909855062159888,DUI,Childbirth,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
67132.0,0.5686937346298442,0.7156712607484407,Bihar,70487.0,8/8/2020,10/23/2018,5/18/2023,3.0,1.0643061235832438,1.4760609849021102,-1.6286599839533509,Mail,Afternoon,3.0,0.1496767616552567,Major Violations,Marriage,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
63770.0,-0.1500923363972226,-0.08647039409094,Haryana,69451.0,5/4/2023,1/14/2019,2/5/2024,3.0,0.26800613227178993,0.25465118702023404,0.3496772894368917,Phone,Evening,2.0,1.2214265698741773,Clean,Childbirth,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
81798.0,-0.1500923363972226,0.8269056243193127,Sikkim,92702.0,6/10/2019,9/27/2021,6/11/2024,4.0,0.3838800766504075,0.877194151277017,-0.5551872020853499,Text,Morning,3.0,0.4806583200758057,Clean,Childbirth,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
87317.0,-0.8688784074242895,1.0175116607570998,Daman and Diu,45743.0,9/27/2018,11/7/2021,11/17/2024,3.0,0.8927069723815598,0.7490645031525786,0.34405701309203307,Mail,Afternoon,3.0,0.29152600097834913,Major Violations,Job Change,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
63024.0,-1.767360996208123,0.6526426777455833,West Bengal,55507.0,5/10/2022,9/19/2019,1/14/2023,1.0,-0.8097883393130374,-1.3664674044672278,-1.2689622978823978,Mail,Evening,1.0,0.6540296125818076,Clean,Childbirth,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
90003.0,-2.1267540317216564,-0.05701482514990612,Chandigarh,75031.0,4/26/2022,6/23/2020,4/18/2024,1.0,-1.2590949772648385,-2.1227108711147293,0.029321537779949006,In-Person Meeting,Anytime,0.0,1.5839301814776359,Clean,Childbirth,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
9503.0,-0.509485371910756,-1.8431625185484701,Rajasthan,44602.0,2/26/2018,2/22/2022,3/2/2024,0.0,-1.3519891226470153,-1.6074068514838349,2.1369251671019405,Mail,Evening,0.0,1.6154522346605453,DUI,Marriage,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
34907.0,-0.32978885415398934,-0.007478793081328716,Andaman and Nicobar Islands,75558.0,9/13/2021,2/8/2022,8/11/2024,5.0,0.6363677980222426,0.20033535792400467,-0.9935687569843241,Mail,Weekends,2.0,0.13391573506380197,Clean,Marriage,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
75932.0,0.029604181359544093,0.5043513080876041,Puducherry,96385.0,3/25/2020,2/10/2020,9/6/2023,2.0,0.5233139552034969,0.49698334760341134,-1.280202850572115,Phone,Anytime,1.0,0.7643567987219906,Major Violations,Childbirth,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
11032.0,-1.9470575139648896,0.4305540224611428,Uttarakhand,17196.0,3/8/2019,7/18/2021,12/22/2024,4.0,-0.20621408860322138,-1.0127181585584517,1.574897532616076,Phone,Weekends,2.0,1.5051250485203622,Clean,Retirement,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
13515.0,1.8265693589272112,-0.6444792259222678,Telangana,67407.0,11/11/2023,6/2/2020,6/5/2024,0.0,-0.721382184127571,-0.6408636362842659,0.13610678833226322,Mail,Morning,2.0,-0.6698966211003885,Clean,Marriage,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67826.0,-1.2282714429378228,1.2038102161454451,Odisha,48399.0,7/21/2023,7/20/2023,9/10/2024,3.0,1.536785938924163,0.8576961613450372,-0.8924037827768686,Phone,Morning,2.0,-0.8275068870149357,DUI,Divorce,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
90081.0,1.4671763234136777,0.07062597359457402,Nagaland,52330.0,11/11/2020,4/11/2022,1/14/2024,3.0,0.24911145182064898,1.0331780707328553,-1.9040535248514243,Mail,Morning,2.0,-0.6856576476918432,Minor Violations,Marriage,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
96513.0,0.7483902523866109,0.9402937284149054,Mizoram,14036.0,10/2/2018,7/28/2022,11/19/2024,4.0,-2.133640700713192,-0.3080050938740396,0.3665381184714676,Mail,Evening,0.0,-0.07097761062510932,Major Violations,Divorce,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
90736.0,-2.845540102748723,0.599812689580374,Manipur,84014.0,11/18/2021,1/26/2022,4/24/2023,2.0,-1.0468460764358598,-1.9750832330583108,-0.38095863539473196,Mail,Morning,1.0,0.9850111710023566,Clean,Retirement,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
66549.0,1.1077832879001444,0.7073096798877601,Uttarakhand,37051.0,4/13/2020,3/8/2018,5/16/2023,4.0,1.1029898595516565,0.09448912686468586,-0.38657891173959064,Text,Afternoon,2.0,-0.3231540360883848,Clean,Job Change,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
